butterfly_id,species_name_trinomial,species_name_binomial,family,common_name_english,common_name_sinhalese,national_red_list_category_2012,status
b233,Potanthus satra,Potanthus confuscius,Hesperiidae,Tropic Dart,Gim-sara,LC,Possibly endemic
b234,Sarangesa dasahara albicilia,Sarangesa dasahara,Hesperiidae,Common Small Flat,Kuda Kunchika,NT,Endemic subspecies
b235,Spialia galba,Spialia galba,Hesperiidae,Indian Skipper,Indu-pimma,LC,Not endemic
b236,Suastus gremius subgrisea,Suastus gremius,Hesperiidae,Indian Palm Bob,Indu-thala Bobaya,LC,Endemic subspecies
b237,Suastus minuta minuta,Suastus minuta,Hesperiidae,Ceylon Palm Bob,Hela-thala Bobaya,EN,Endemic subspecies
b238,Tagiades japetus obscurus,Tagiades japetus,Hesperiidae,Ceylon Snow Flat,Hima Kunchika,LC,Not endemic
b239,Tagiades litigiosa ceylonica,Tagiades litigiosa,Hesperiidae,Water Snow Flat,Diya Kunchika,VU,Endemic subspecies
b240,Tapena thwaitesi,Tapena thwaitesi,Hesperiidae,Black Angle,Kalu Mulla,EN,Not endemic
b241,Taractrocera maevius,Taractrocera maevius,Hesperiidae,Common Grass Dart,Thana-sara,LC,Not endemic
b242,Telicota bambusae lanka,Telicota bambusae,Hesperiidae,Dark Palmdart,Anduru Thala-sara,VU,Endemic subspecies
b243,Telicota colon kala,Telicota colon,Hesperiidae,Pale Palmdart,Thala-sara,NT,Not endemic
b244,Thoressa decorata,Thoressa decorata,Hesperiidae,Sri Lankan Decorated Ace,Sri Lanka Sithirasiya,EN,Endemic
b245,Udaspes folus,Udaspes folus,Hesperiidae,Grass Demon,Thanapath Dassa,LC,Not endemic
